product_category_name,price_range,demand,revenue,price
agro_industria_e_comercio,Low,45,1128.5,25.07777777777778
agro_industria_e_comercio,Medium,19,1164.04,61.265263157894736
agro_industria_e_comercio,High,10,1062.4,106.24000000000001
agro_industria_e_comercio,Premium,109,60908.74,558.7957798165137
alimentos,Low,197,5185.639999999999,26.323045685279183
alimentos,Medium,125,7162.54,57.30032
alimentos,High,92,8293.74,90.14934782608695
alimentos,Premium,39,6494.18,166.51743589743592
alimentos_bebidas,Low,125,3275.05,26.200400000000002
alimentos_bebidas,Medium,69,3540.68,51.314202898550725
alimentos_bebidas,High,21,2306.14,109.81619047619047
alimentos_bebidas,Premium,19,4672.0599999999995,245.8978947368421
artes,Low,27,731.47,27.091481481481484
artes,Medium,52,2984.2,57.388461538461534
artes,High,106,10865.66,102.50622641509433
artes,Premium,17,9275.83,545.6370588235294
artes_e_artesanato,Low,12,267.67,22.305833333333336
artes_e_artesanato,Medium,3,157.7,52.56666666666666
artes_e_artesanato,High,7,861.15,123.02142857142857
artes_e_artesanato,Premium,2,527.49,263.745
artigos_de_festas,Low,14,316.18,22.584285714285716
artigos_de_festas,Medium,7,471.40000000000003,67.34285714285714
artigos_de_festas,High,8,773.8,96.725
artigos_de_festas,Premium,10,2723.2000000000003,272.32000000000005
artigos_de_natal,Low,62,1236.3799999999999,19.941612903225806
artigos_de_natal,Medium,21,1283.3,61.10952380952381
artigos_de_natal,High,40,3548.7000000000003,88.7175
artigos_de_natal,Premium,7,1627.2,232.45714285714286
audio,Low,111,2120.68,19.105225225225222
audio,Medium,43,2612.38,60.75302325581396
audio,High,86,8775.77,102.04383720930232
audio,Premium,110,36322.25,330.2022727272727
automotivo,Low,1072,27079.309999999998,25.260550373134325
automotivo,Medium,844,49549.77,58.70825829383886
automotivo,High,838,91646.19,109.36299522673032
automotivo,Premium,1237,395504.89,319.7290945836702
bebes,Low,594,17080.47,28.755000000000003
bebes,Medium,849,48028.05,56.57014134275619
bebes,High,762,83904.04000000001,110.11028871391078
bebes,Premium,728,255224.31,350.5828434065934
bebidas,Low,109,2599.07,23.84467889908257
bebidas,Medium,153,7999.37,52.283464052287584
bebidas,High,21,2150.54,102.40666666666667
bebidas,Premium,19,4470.87,235.30894736842106
beleza_saude,Low,2125,55574.71,26.152804705882353
beleza_saude,Medium,2138,125468.35,58.68491580916745
beleza_saude,High,2531,259862.68,102.67193994468589
beleza_saude,Premium,2228,771244.18,346.1598653500898
brinquedos,Low,714,21545.84,30.17624649859944
brinquedos,Medium,1142,65706.67,57.53648861646234
brinquedos,High,1196,122840.93000000001,102.70980769230769
brinquedos,Premium,927,264611.46,285.44925566343045
